ApplStandard,Brand,climate_class,Country,high_efficiency,Model No,Family Name,N-Standard,Sold_in,Submit_ID,SubmitStatus,Temp_Class,total_dis_area,total_energy_cons,type,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Type,Efficiency (kWh/24h/m²),Length,Climate Class,Depth,Cabinet Description,Total Energy Consumption(kWh/24h),Cabinet Type,Star Rating,Energy Efficiency Index,Width,Net Volume,Height,Duty Type,Product Class Number
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,No,RM,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16927,Superseded,N/A,2.661,22.686,RS4 - Glass door (MEPS),,2021-06-30,Class 7,Unavailable,,,-,8.52536640360767,N/A,N/A,1110.0,N/A,N/A,N/A,N/A,N/A,2350.0,N/A,2083.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,SKOPE,3M1,New Zealand,Yes,SK500-2-CX,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17333,Superseded,M1,0.557,5.405,VC4 (b) - Glass Door (MEPS),,2021-06-30,Class 29,Unavailable,http://www.skope.co.nz/,,-,9.70377019748653,N/A,N/A,700.0,N/A,N/A,N/A,N/A,N/A,568.0,N/A,2195.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,MINI ODESSA MT  937,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17467,Superseded,M2,1.209,29.704,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,24.5690653432589,N/A,N/A,878.0,N/A,N/A,N/A,N/A,N/A,1037.0,N/A,1949.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,MINI ODESSA MT 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17472,Superseded,M2,1.613,35.918,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,22.2678239305642,N/A,N/A,878.0,N/A,N/A,N/A,N/A,N/A,1350.0,N/A,1949.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,MINI ODESSA MT 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17474,Superseded,M2,2.419,49.186,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,20.3331955353452,N/A,N/A,878.0,N/A,N/A,N/A,N/A,N/A,1975.0,N/A,1949.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,MINI ODESSA MT 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17475,Superseded,M2,3.225,61.511,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,19.0731782945736,N/A,N/A,878.0,N/A,N/A,N/A,N/A,N/A,2600.0,N/A,1949.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,ODESSA 2 SL 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17476,Superseded,M2,1.614,40.0,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,24.7831474597274,N/A,N/A,936.0,N/A,N/A,N/A,N/A,N/A,1370.0,N/A,2001.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,ODESSA 2 SL 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17477,Superseded,M2,2.421,58.0,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,23.9570425444031,N/A,N/A,936.0,N/A,N/A,N/A,N/A,N/A,1995.0,N/A,2001.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,ODESSA 2 SL 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17479,Superseded,M2,3.227,70.0,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,21.6919739696312,N/A,N/A,936.0,N/A,N/A,N/A,N/A,N/A,2620.0,N/A,2001.0,N/A,N/A
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,No,ODESSA 2 SL 3750,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17480,Superseded,M2,4.841,94.0,VC2 (MEPS),,2021-06-30,Class 28,Unavailable,http://www.arneg.com.au/,,-,19.4174757281553,N/A,N/A,936.0,N/A,N/A,N/A,N/A,N/A,3870.0,N/A,2001.0,N/A,N/A
